Tweet,Keyword,tweet_lowercase
The day Ban Ki-moon cried: Have we done enough to support earthquake victims in Nepal? by Surendra Bahadur Sijapati  ,earthquake,the day ban ki-moon cried: have we done enough to support earthquake victims in nepal? by surendra bahadur sijapati  
Petty politics is slowing down the #reconstruction process and hurting the #earthquake survivors - David Kainee  ,earthquake,petty politics is slowing down the #reconstruction process and hurting the #earthquake survivors - david kainee  
"According to police, Arjun Chhetri had claimed that an earthquake of high magnitude would hit Nepal soon through a video which surfaced over social media including YouTube — by @nayak_paudel ",earthquake,"according to police, arjun chhetri had claimed that an earthquake of high magnitude would hit nepal soon through a video which surfaced over social media including youtube — by @nayak_paudel "
"At least 20 people were killed and more than 200 injured when an earthquake struck southern Pakistan, Disaster Management Authority Director General Naseer Nasir said on Thursday. ",earthquake,"at least 20 people were killed and more than 200 injured when an earthquake struck southern pakistan, disaster management authority director general naseer nasir said on thursday. "
Earthquakes aid farm mechanisation process #KathmanduPost ,earthquake,earthquakes aid farm mechanisation process #kathmandupost 
"Ignoring risks of flood, locals are constructing houses at the banks of Mahakali in Darchula A construction guideline was issued after the 2015 earthquakes, but it hasn’t been fully implemented yet.  — by Manoj Badu",earthquake,"ignoring risks of flood, locals are constructing houses at the banks of mahakali in darchula a construction guideline was issued after the 2015 earthquakes, but it hasn’t been fully implemented yet.  — by manoj badu"
"Works to restore and conserve the Seto Machhindranath Temple, which was damaged in the 2015 earthquake, began amid a ceremony in the Capital on Sunday. ",earthquake,"works to restore and conserve the seto machhindranath temple, which was damaged in the 2015 earthquake, began amid a ceremony in the capital on sunday. "
Psychosocial support for the adolescents and children scarred by the earthquake - Dr Rolina Dhital ,earthquake,psychosocial support for the adolescents and children scarred by the earthquake - dr rolina dhital 
"At least six dead as 6.6 M earthquake jolts west Nepal The earthquake occurred at 2:12am on Wednesday with epicentre at Khaptad National Park, according to National Seismological Centre.  — by Mohan Shahi",earthquake,"at least six dead as 6.6 m earthquake jolts west nepal the earthquake occurred at 2:12am on wednesday with epicentre at khaptad national park, according to national seismological centre.  — by mohan shahi"
Finance Minister Yubraj Khatiwada has said that the grant provided to earthquake victims for reconstruction of private houses should be spent in a transparent manner #KathmanduPost ,earthquake,finance minister yubraj khatiwada has said that the grant provided to earthquake victims for reconstruction of private houses should be spent in a transparent manner #kathmandupost 
18 out of 51 apartment buildings in Kathmandu damaged by 2015 earthquake declared “safe” for residential purpose ,earthquake,18 out of 51 apartment buildings in kathmandu damaged by 2015 earthquake declared “safe” for residential purpose 
Earthquake measuring 6.8-magnitude strikes Philippines on Saturday morning: USGS No immediate reports of destruction or casualties,earthquake,earthquake measuring 6.8-magnitude strikes philippines on saturday morning: usgs no immediate reports of destruction or casualties
"Many survivors of the 2015 earthquake say financing reconstruction of their homes and the burden of loans have become major challenges, pushing them further into poverty  -by @arpanshr and @TseringNgodupL1",earthquake,"many survivors of the 2015 earthquake say financing reconstruction of their homes and the burden of loans have become major challenges, pushing them further into poverty  -by @arpanshr and @tseringngodupl1"
"Reconstruction work of the earthquake-ravaged Gorkha Durbar, a historically important palace of the Shah kings, is going on at a snail’s pace. ",earthquake,"reconstruction work of the earthquake-ravaged gorkha durbar, a historically important palace of the shah kings, is going on at a snail’s pace. "
"#Oped Earthquake survivors face endless hassles and paperwork as they rebuild their homes, by Jagat Basnet ",earthquake,"#oped earthquake survivors face endless hassles and paperwork as they rebuild their homes, by jagat basnet "
The Department of Mines and Geology has started a geological mapping of four districts that are prone to earthquakes. ,earthquake,the department of mines and geology has started a geological mapping of four districts that are prone to earthquakes. 
President Bhandari inaugurates historic Rani Pokhari and Durbar High School The iconic pond and the country’s first school had suffered heavy damage in the 2015 Gorkha earthquake.  — by @AnupOjha7,earthquake,president bhandari inaugurates historic rani pokhari and durbar high school the iconic pond and the country’s first school had suffered heavy damage in the 2015 gorkha earthquake.  — by @anupojha7
NRA asks Finance Ministry to take initiatives for converting the $750 million Indian line of credit for post-earthquake reconstruction to an unconditional loan #KathmanduPost ,earthquake,nra asks finance ministry to take initiatives for converting the $750 million indian line of credit for post-earthquake reconstruction to an unconditional loan #kathmandupost 
Human trafficking that was rife after the 2015 earthquakes further increased during the pandemic. 👉 Details:  #TheKathmanduPost ,earthquake,human trafficking that was rife after the 2015 earthquakes further increased during the pandemic. 👉 details:  #thekathmandupost 
The government seeks India’s consent to switch part of $750 million Line of Credit granted to reconstruct earthquake-damaged buildings to other infrastructure projects #KathmanduPost ,earthquake,the government seeks india’s consent to switch part of $750 million line of credit granted to reconstruct earthquake-damaged buildings to other infrastructure projects #kathmandupost 
Mountaineers attribute the collapse of the famous Hillary Step to 2015 earthquake ,earthquake,mountaineers attribute the collapse of the famous hillary step to 2015 earthquake 
"Editorial: As experience post 2015 earthquake showed, coordination is key in times of natural disasters ",earthquake,"editorial: as experience post 2015 earthquake showed, coordination is key in times of natural disasters "
"OPINION: Five years since the Gorkha earthquake, Nepal still falls short The country being in a highly-vulnerable seismic zone, one would think the government and society would plan better.  — by Keshab Sharma",earthquake,"opinion: five years since the gorkha earthquake, nepal still falls short the country being in a highly-vulnerable seismic zone, one would think the government and society would plan better.  — by keshab sharma"
The exhibition Reflection 25.4.12 is a solemn reminder that not all have moved on from the 2015 earthquakes ,earthquake,the exhibition reflection 25.4.12 is a solemn reminder that not all have moved on from the 2015 earthquakes 
"Mexico hit by magnitude 8.2 earthquake, 15 killed #KathmanduPost ",earthquake,"mexico hit by magnitude 8.2 earthquake, 15 killed #kathmandupost "
Mexico earthquake: Strong tremor hits Oaxaca state #KathmanduPost  ,earthquake,mexico earthquake: strong tremor hits oaxaca state #kathmandupost  
"After widespread criticism from conservationists, activists and locals, the Pashupati Area Development Trust has removed the concrete fill from the 12 pits that were dug for the reconstruction of the earthquake-damaged Vishwarup temple. ",earthquake,"after widespread criticism from conservationists, activists and locals, the pashupati area development trust has removed the concrete fill from the 12 pits that were dug for the reconstruction of the earthquake-damaged vishwarup temple. "
Taliban calls for release of frozen funds after deadly earthquake ,earthquake,taliban calls for release of frozen funds after deadly earthquake 
Gorkha starts to pick up the pieces after devastating earthquake #KathmanduPost ,earthquake,gorkha starts to pick up the pieces after devastating earthquake #kathmandupost 
PM Dahal urges UN to support Nepal’s post-earthquake reconstruction  ,earthquake,pm dahal urges un to support nepal’s post-earthquake reconstruction  
"Workers clean Rani Pokhari pond in the Capital on Tuesday. After a three-year hiatus, and expenditure of more than Rs25 million, reconstruction of Rani Pokhari that was damaged in the 2015 earthquake has begun from Monday. Photo: @Thapakeshav7 ",earthquake,"workers clean rani pokhari pond in the capital on tuesday. after a three-year hiatus, and expenditure of more than rs25 million, reconstruction of rani pokhari that was damaged in the 2015 earthquake has begun from monday. photo: @thapakeshav7 "
Singha Durbar reconstruction: National Reconstruction Authority to retrofit the iconic building that housed the Office of the Prime Minister before the 2015 earthquake inflicted heavy damage to it ,earthquake,singha durbar reconstruction: national reconstruction authority to retrofit the iconic building that housed the office of the prime minister before the 2015 earthquake inflicted heavy damage to it 
"Heritage conservationists, culture experts and locals have criticised the Kathmandu Metropolitan City for its move to obstruct the work of laying tarpaulin sheets on Bagh Durbar which was damaged in the 2015 earthquake — by @AnupOjha7 ",earthquake,"heritage conservationists, culture experts and locals have criticised the kathmandu metropolitan city for its move to obstruct the work of laying tarpaulin sheets on bagh durbar which was damaged in the 2015 earthquake — by @anupojha7 "
"Pedestrians struggle to pass through an alley in Basantapur, Kathmandu on Tuesday. Many homes damaged in 2015 earthquakes are still buttressed by wooden beams. Photo by: @Dipendra_Rokka ",earthquake,"pedestrians struggle to pass through an alley in basantapur, kathmandu on tuesday. many homes damaged in 2015 earthquakes are still buttressed by wooden beams. photo by: @dipendra_rokka "
Two mild earthquakes recorded in Kavre and Achham No human casualties have been reported so far. ,earthquake,two mild earthquakes recorded in kavre and achham no human casualties have been reported so far. 
The project work was also delayed due to the 2015 earthquake and the border blockade imposed by the Indian government that same year ,earthquake,the project work was also delayed due to the 2015 earthquake and the border blockade imposed by the indian government that same year 
The resilience shown by people in Nepal after the devastating 2015 earthquake is an example in the world: Indian PM Modi #KathmanduPost,earthquake,the resilience shown by people in nepal after the devastating 2015 earthquake is an example in the world: indian pm modi #kathmandupost
"Schools must have clear earthquake response plans, by Dronashish Neupane ",earthquake,"schools must have clear earthquake response plans, by dronashish neupane "
"Around 8,800 earthquake survivors in Tanahun district have lodged complaints with the National Reconstruction Authority (NRA) for being left out of the housing reconstruction aid list. ",earthquake,"around 8,800 earthquake survivors in tanahun district have lodged complaints with the national reconstruction authority (nra) for being left out of the housing reconstruction aid list. "
Aspiring Kathmandu mayors need to be serious about risks from earthquakes and climate change - Navin Singh Khadka ,earthquake,aspiring kathmandu mayors need to be serious about risks from earthquakes and climate change - navin singh khadka 
The earthquake with its epicenter at Khela in the Indian state of Uttarakhand was felt in the hilly district at around 12:52 pm ,earthquake,the earthquake with its epicenter at khela in the indian state of uttarakhand was felt in the hilly district at around 12:52 pm 
"The government has adopted a pragmatic approach by altering the modality of providing concessional loans to survivors of the earthquake that struck Nepal on April 25, 2015. ",earthquake,"the government has adopted a pragmatic approach by altering the modality of providing concessional loans to survivors of the earthquake that struck nepal on april 25, 2015. "
Displaced earthquake survivors in Haku and Dandagaun of Rasuwa district have already spent four winters in makeshift huts. Victims say living in these temporary shelter in the cold is becoming unbearable for them. ,earthquake,displaced earthquake survivors in haku and dandagaun of rasuwa district have already spent four winters in makeshift huts. victims say living in these temporary shelter in the cold is becoming unbearable for them. 
"Workers install the Gajur of Taleju temple at Patan Durbar Square, Lalitpur. The upper section of the temple was damaged during the April 25 earthquake. Pic: @Thapakeshav7 ",earthquake,"workers install the gajur of taleju temple at patan durbar square, lalitpur. the upper section of the temple was damaged during the april 25 earthquake. pic: @thapakeshav7 "
#Earthquake victims in Ramechhap say rebuilding aid hard to get  ,earthquake,#earthquake victims in ramechhap say rebuilding aid hard to get  
"In this week's longread, @MarsaTay reports about the rapidly drying springs across Nepal's mid-hills, and how things have gotten worse since the twin earthquakes four years ago. ",earthquake,"in this week's longread, @marsatay reports about the rapidly drying springs across nepal's mid-hills, and how things have gotten worse since the twin earthquakes four years ago. "
"China launched an emergency response on Thursday after a 6.0-magnitude earthquake jolted the southwestern province of Sichuan killing at least three people, state media reported. ",earthquake,"china launched an emergency response on thursday after a 6.0-magnitude earthquake jolted the southwestern province of sichuan killing at least three people, state media reported. "
ML 4.1 fresh earthquake jolts Darchula ,earthquake,ml 4.1 fresh earthquake jolts darchula 
Students from hundreds of public schools studying in makeshift structures after the twin earthquakes four years ago will have to wait at least a few more years to sit inside permanent buildings.  — by @binodjourno,earthquake,students from hundreds of public schools studying in makeshift structures after the twin earthquakes four years ago will have to wait at least a few more years to sit inside permanent buildings.  — by @binodjourno
Chief Executive Officer of National Reconstruction Authority (NRA) Sushil Gyewali has said that it would require an estimated Rs 600 billion to complete the reconstruction of homes and other structures ravaged during the 2015 earthquake. ,earthquake,chief executive officer of national reconstruction authority (nra) sushil gyewali has said that it would require an estimated rs 600 billion to complete the reconstruction of homes and other structures ravaged during the 2015 earthquake. 
Nearly two dozen foreign organisations leaving Nepal Many of them are leaving citing funding crunch with some awaiting completion of post-earthquake recovery tasks. ,earthquake,nearly two dozen foreign organisations leaving nepal many of them are leaving citing funding crunch with some awaiting completion of post-earthquake recovery tasks. 
#Opinion The tremble: Why and when do earthquakes happen?-- by @Manekagandhibjp ,earthquake,#opinion the tremble: why and when do earthquakes happen?-- by @manekagandhibjp 
"The Bhaju Pukhu, a centuries-old pond in Bhaktapur with a temple at its centre, is finally going to be restored. The temple, which was destroyed in an earthquake in 1737 BS (1681AD), had never been reconstructed — @Thapakeshav7 ",earthquake,"the bhaju pukhu, a centuries-old pond in bhaktapur with a temple at its centre, is finally going to be restored. the temple, which was destroyed in an earthquake in 1737 bs (1681ad), had never been reconstructed — @thapakeshav7 "
Displaced earthquake survivors in Haku and Dandagaun of Rasuwa district have already spent four winters in makeshift huts. Victims say living in these temporary shelter in the cold is becoming unbearable for them ,earthquake,displaced earthquake survivors in haku and dandagaun of rasuwa district have already spent four winters in makeshift huts. victims say living in these temporary shelter in the cold is becoming unbearable for them 
"Earthquake survivors’ struggles are piling on with the falling snow, while tourists revel in Helambu’s seemingly idyllic winter. ",earthquake,"earthquake survivors’ struggles are piling on with the falling snow, while tourists revel in helambu’s seemingly idyllic winter. "
"Cultural heritages damaged by the devastating earthquake of April 25, 2015 will be reconstructed within 3 years #KathmanduPost #Budget2018",earthquake,"cultural heritages damaged by the devastating earthquake of april 25, 2015 will be reconstructed within 3 years #kathmandupost #budget2018"
"The film, which features video footages from earthquakes and interviews with survivors, has won over dozen awards ",earthquake,"the film, which features video footages from earthquakes and interviews with survivors, has won over dozen awards "
The devastation caused by floods and landslides has added to the burden following the earthquake of 2015 ,earthquake,the devastation caused by floods and landslides has added to the burden following the earthquake of 2015 
Only 11% of the private homes that were heavily damaged or destroyed in the 2015 earthquake have been reconstructed as the National Reconstruction Authority completed its 2nd anniversary #KathmanduPost ,earthquake,only 11% of the private homes that were heavily damaged or destroyed in the 2015 earthquake have been reconstructed as the national reconstruction authority completed its 2nd anniversary #kathmandupost 
Op-Ed Earthquake survivors face endless hassles and paperwork as they rebuild their homes - Jagat Basnet #KathmanduPost ,earthquake,op-ed earthquake survivors face endless hassles and paperwork as they rebuild their homes - jagat basnet #kathmandupost 
Magnitude 7.6 earthquake hits in Caribbean north of Honduras; tsunami advisory canceled #KathmanduPost ,earthquake,magnitude 7.6 earthquake hits in caribbean north of honduras; tsunami advisory canceled #kathmandupost 
"Huge earthquake hits Turkey and Syria, kills about 1,700, many trapped The magnitude 7.8 quake was the worst to strike Turkey this century and it heaped more destruction on Syrian cities already devastated by war. ",earthquake,"huge earthquake hits turkey and syria, kills about 1,700, many trapped the magnitude 7.8 quake was the worst to strike turkey this century and it heaped more destruction on syrian cities already devastated by war. "
"The 1,880 survivors of the 2015 earthquake who were put on the roster of beneficiaries of the state’s compensation package will be building their homes in the same area where their homes stood before the disaster.  — by Sujata Lama",earthquake,"the 1,880 survivors of the 2015 earthquake who were put on the roster of beneficiaries of the state’s compensation package will be building their homes in the same area where their homes stood before the disaster.  — by sujata lama"
Magnitude 7.5 earthquake strikes off New Caledonia ,earthquake,magnitude 7.5 earthquake strikes off new caledonia 
"Child, two men dead and hundreds injured in Japan earthquake #KathmanduPost ",earthquake,"child, two men dead and hundreds injured in japan earthquake #kathmandupost "
"During the international conference organised in June 2015 for Nepal’s recovery after the devastating earthquake, donor agencies and neighbouring countries had committed to provide Rs 410 billion ",earthquake,"during the international conference organised in june 2015 for nepal’s recovery after the devastating earthquake, donor agencies and neighbouring countries had committed to provide rs 410 billion "
"An earthquake of magnitude 6.1 killed at least 130 people in Afghanistan early on Wednesday, an official said, adding that at least 250 people were injured and checks were being conducted to see if the casualty toll might rise. ",earthquake,"an earthquake of magnitude 6.1 killed at least 130 people in afghanistan early on wednesday, an official said, adding that at least 250 people were injured and checks were being conducted to see if the casualty toll might rise. "
"At least 50 killed in Turkey earthquake, dozens trapped under rubble Turkish authorities scrambled rescue teams and supply aircraft to the region around the city of Kahramanmaras, while declaring a “level 4 alarm” that calls for international assistance. ",earthquake,"at least 50 killed in turkey earthquake, dozens trapped under rubble turkish authorities scrambled rescue teams and supply aircraft to the region around the city of kahramanmaras, while declaring a “level 4 alarm” that calls for international assistance. "
"Two days before the fourth anniversary of the 2015 Gorkha Earthquake that devastated the country, the Nepal Reconstruction Authority on Tuesday listed the challenges to the ongoing reconstruction works.  — by @tikapradhan",earthquake,"two days before the fourth anniversary of the 2015 gorkha earthquake that devastated the country, the nepal reconstruction authority on tuesday listed the challenges to the ongoing reconstruction works.  — by @tikapradhan"
An earthquake measuring 5.2 magnitude on Richter Scale with epicenter in Dolakha district was felt on Friday morning #KathmanduPost ,earthquake,an earthquake measuring 5.2 magnitude on richter scale with epicenter in dolakha district was felt on friday morning #kathmandupost 
"The Supreme Court has issued an interim order, directing the Kathmandu Metropolitan City (KMC) not to demolish the historic Bag Durbar that suffered damage in the earthquake of April 25, 2015. ",earthquake,"the supreme court has issued an interim order, directing the kathmandu metropolitan city (kmc) not to demolish the historic bag durbar that suffered damage in the earthquake of april 25, 2015. "
"UN readies for possible cholera outbreak after Afghanistan earthquake ‘Cholera outbreaks in the aftermath of earthquakes are of particular and serious concern,’ UN humanitarian office (OCHA) said in a statement on Thursday. ",earthquake,"un readies for possible cholera outbreak after afghanistan earthquake ‘cholera outbreaks in the aftermath of earthquakes are of particular and serious concern,’ un humanitarian office (ocha) said in a statement on thursday. "
Fresh #earthquake measuring 4.9 on the Richter scale rocks Bajura #KathmanduPost ,earthquake,fresh #earthquake measuring 4.9 on the richter scale rocks bajura #kathmandupost 
"Earthquake death toll tops 33,000, Turkey starts legal action Building quality in a country that lies on several seismic fault lines has come into sharp focus in the aftermath of the quake. ",earthquake,"earthquake death toll tops 33,000, turkey starts legal action building quality in a country that lies on several seismic fault lines has come into sharp focus in the aftermath of the quake. "
"More than 400,000 quake-affected families have received the second tranche of government grant for rebuilding private homes damaged by the earthquake that struck Nepal on April 25, 2015 #KathmanduPost ",earthquake,"more than 400,000 quake-affected families have received the second tranche of government grant for rebuilding private homes damaged by the earthquake that struck nepal on april 25, 2015 #kathmandupost "
A 5.8 magnitude earthquake with epicentre at Marshyangdi Rural Municipality of Lamjung district on Wednesday morning damaged houses leaving several people injured.  — by Aash Gurung,earthquake,a 5.8 magnitude earthquake with epicentre at marshyangdi rural municipality of lamjung district on wednesday morning damaged houses leaving several people injured.  — by aash gurung
"The National Reconstruction Authority has endorsed the work guidelines related to the renovation, reconstruction and protection of gumbas, bihars and stupas damaged in the devastating earthquakes of 2015. ",earthquake,"the national reconstruction authority has endorsed the work guidelines related to the renovation, reconstruction and protection of gumbas, bihars and stupas damaged in the devastating earthquakes of 2015. "
Many earthquake-affected families in Palpa are still living in temporary huts because they have not received house rebuilding aid from the government #KathmanduPost ,earthquake,many earthquake-affected families in palpa are still living in temporary huts because they have not received house rebuilding aid from the government #kathmandupost 
"The women of Bhajya Pukhu: When the 2015 earthquakes ravaged Bhaktapur’s old settlements, the pond transformed into a tent city housing hundreds of anxious residents #KathmanduPost ",earthquake,"the women of bhajya pukhu: when the 2015 earthquakes ravaged bhaktapur’s old settlements, the pond transformed into a tent city housing hundreds of anxious residents #kathmandupost "
"Major earthquake in Haiti felt across Caribbean, high casualties expected ",earthquake,"major earthquake in haiti felt across caribbean, high casualties expected "
"National Reconstruction Authority has added 5,344 households to the list of beneficiaries of 2015 Gorkha Earthquake following a survey #KathmanduPost ",earthquake,"national reconstruction authority has added 5,344 households to the list of beneficiaries of 2015 gorkha earthquake following a survey #kathmandupost "
Foreigners participate in #EarthquakeSafetyWalkathon organised to mark the 19th Earthquake Safety Day at Lalitpur on Monday. ,earthquake,foreigners participate in #earthquakesafetywalkathon organised to mark the 19th earthquake safety day at lalitpur on monday. 
"UNESCO has withdrawn from the restoration of Jagannath and Shree Krishna Mahavishnu temples, which were damaged in the 2015 earthquakes, following concerns of the locals and the heritage conservationists  — by @CK_Mandal",earthquake,"unesco has withdrawn from the restoration of jagannath and shree krishna mahavishnu temples, which were damaged in the 2015 earthquakes, following concerns of the locals and the heritage conservationists  — by @ck_mandal"
"The National Reconstruction Authority, formed in the wake of the devastating 2015 earthquakes to reconstruct and rebuild public infrastructure and private homes, is spending a lot less than it is supposed to.  — by @journoprithvi",earthquake,"the national reconstruction authority, formed in the wake of the devastating 2015 earthquakes to reconstruct and rebuild public infrastructure and private homes, is spending a lot less than it is supposed to.  — by @journoprithvi"
Work began to rebuild the earthquake-damaged wing of the Tri-Chandra College at Ghantaghar (clock tower) in Kathmandu on Friday. Photo by: @Sayami ,earthquake,work began to rebuild the earthquake-damaged wing of the tri-chandra college at ghantaghar (clock tower) in kathmandu on friday. photo by: @sayami 
"The reconstruction of the earthquake-damaged Nuwakot Durbar, also known as the seven-storey palace, has finally taken off with the help of the Chinese government. ",earthquake,"the reconstruction of the earthquake-damaged nuwakot durbar, also known as the seven-storey palace, has finally taken off with the help of the chinese government. "
Managing resource for expediting the delayed reconstruction works appears to be a difficult task for the government as the third anniversary of the Gorkha Earthquake nears #KathmanduPost ,earthquake,managing resource for expediting the delayed reconstruction works appears to be a difficult task for the government as the third anniversary of the gorkha earthquake nears #kathmandupost 
"Op-Ed There was much to observe, criticise and complain about in the provision of post-earthquake aid - ANNA S GAUTAM #KathmanduPost ",earthquake,"op-ed there was much to observe, criticise and complain about in the provision of post-earthquake aid - anna s gautam #kathmandupost "
"Aspiring Kathmandu mayors need to be serious about risks from earthquakes and climate change, by @NavinSinghKhadk ",earthquake,"aspiring kathmandu mayors need to be serious about risks from earthquakes and climate change, by @navinsinghkhadk "
"A major earthquake of magnitude 7.3 struck Venezuela’s eastern coast, home to largely poor fishing communities, on Tuesday afternoon, shaking buildings as far away as Colombian capital Bogota and knocking power out in parts of Trinidad, Reuters reported.  ",earthquake,"a major earthquake of magnitude 7.3 struck venezuela’s eastern coast, home to largely poor fishing communities, on tuesday afternoon, shaking buildings as far away as colombian capital bogota and knocking power out in parts of trinidad, reuters reported.  "
Post-earthquake reconstruction: 93pc families get first tranche of aid ,earthquake,post-earthquake reconstruction: 93pc families get first tranche of aid 
A report has stated that the impacts of the decade-long conflict and the 2015 Gorkha earthquake have been severe on women #KathmanduPost ,earthquake,a report has stated that the impacts of the decade-long conflict and the 2015 gorkha earthquake have been severe on women #kathmandupost 
"The Tatopani Customs at Nepal-China border in Sindhupalchok opened on Tuesday after being closed following the devastating earthquake on April 25, 2015 ",earthquake,"the tatopani customs at nepal-china border in sindhupalchok opened on tuesday after being closed following the devastating earthquake on april 25, 2015 "
Prime Minister KP Sharma Oli on Thursday laid the foundation stone for the reconstruction of Dharahara in Kathmandu amid protests from cultural activists. The 18th-century monument was destroyed in the devastating 2015 earthquake. ,earthquake,prime minister kp sharma oli on thursday laid the foundation stone for the reconstruction of dharahara in kathmandu amid protests from cultural activists. the 18th-century monument was destroyed in the devastating 2015 earthquake. 
Engineers ‘harassed’ by earthquake victims  ,earthquake,engineers ‘harassed’ by earthquake victims  
"WHO declares public health emergency as coronavirus spreads, but there are questions over first—and only—case in Nepal  — by @arjunpoudeltkp",emergency,"who declares public health emergency as coronavirus spreads, but there are questions over first—and only—case in nepal  — by @arjunpoudeltkp"
"A mysterious new virus, first reported in the Chinese city of Wuhan, has emerged as a major public health emergency. What do we know about the new strain of coronavirus, and should we be worried?  — by @theshailen",emergency,"a mysterious new virus, first reported in the chinese city of wuhan, has emerged as a major public health emergency. what do we know about the new strain of coronavirus, and should we be worried?  — by @theshailen"
Three senior officials dragged to court for misusing millions during supply of emergency logistics ,emergency,three senior officials dragged to court for misusing millions during supply of emergency logistics 
"Viral fever cases on rise in Kanchanpur Around 40 children suffering from high fever, common cold, cough and pneumonia are visiting the emergency unit of Mahakali Provincial Hospital on a daily basis, health workers say.  — by Bhawani Bhatta",emergency,"viral fever cases on rise in kanchanpur around 40 children suffering from high fever, common cold, cough and pneumonia are visiting the emergency unit of mahakali provincial hospital on a daily basis, health workers say.  — by bhawani bhatta"
"Ride sharing app start limited services in Kathmandu Company says it’s only for emergency use, traffic police say riders will be punished if caught  — by @AnupOjha7",emergency,"ride sharing app start limited services in kathmandu company says it’s only for emergency use, traffic police say riders will be punished if caught  — by @anupojha7"
Kailash Helicopter’s chopper makes emergency landing after bird strike The helicopter's windshield has been damaged and passengers suffered minor injuries due to the impact. ,emergency,kailash helicopter’s chopper makes emergency landing after bird strike the helicopter's windshield has been damaged and passengers suffered minor injuries due to the impact. 
Health Emergency Operation Centre lacks funds for emergency situations  — by @arjunpoudeltkp,emergency,health emergency operation centre lacks funds for emergency situations  — by @arjunpoudeltkp
"Buddha Air emergency landing: There was no problem with the engine, but the indicator had certain problem ",emergency,"buddha air emergency landing: there was no problem with the engine, but the indicator had certain problem "
"Even as doctors call for urgent action, Health Minister Upendra Yadav says no need to declare health emergency and flies to the US.  — by @binodjourno",emergency,"even as doctors call for urgent action, health minister upendra yadav says no need to declare health emergency and flies to the us.  — by @binodjourno"
Dr KC may need emergency care as his health declines: Docs #KathmanduPost  ,emergency,dr kc may need emergency care as his health declines: docs #kathmandupost  
Kantipur Foundation sets up emergency relief fund #KathmanduPost ,emergency,kantipur foundation sets up emergency relief fund #kathmandupost 
"Canada announces $ 5 million for emergency relief programmes; Russia to sent a rescue team, to land later on today. #NepalEarthquake #Nepal",emergency,"canada announces $ 5 million for emergency relief programmes; russia to sent a rescue team, to land later on today. #nepalearthquake #nepal"
"Two people killed, 10 hurt in Madrid restaurant blaze Diners struggled to flee as the blaze started near the main exit, emergency services said. ",emergency,"two people killed, 10 hurt in madrid restaurant blaze diners struggled to flee as the blaze started near the main exit, emergency services said. "
Charikot Hospital shuts down emergency service as well  ,emergency,charikot hospital shuts down emergency service as well  
"Bardibas Hospital starts providing maternity services The hospital has also launched laboratory, outpatient and 24-hour emergency services.  — by Sunita Baral",emergency,"bardibas hospital starts providing maternity services the hospital has also launched laboratory, outpatient and 24-hour emergency services.  — by sunita baral"
UPDATE: Fly Dubai aircraft heads to destination with indicators reported normal The aircraft had declared an emergency soon after taking off from Tribhuvan International Airport. ,emergency,update: fly dubai aircraft heads to destination with indicators reported normal the aircraft had declared an emergency soon after taking off from tribhuvan international airport. 
"Goma Air aircraft makes emergency landing without nose gear, all 18 passengers safe  ",emergency,"goma air aircraft makes emergency landing without nose gear, all 18 passengers safe  "
Emergency Cabinet meeting begins. #NepalQuake,emergency,emergency cabinet meeting begins. #nepalquake
"India’s Bharat Biotech has signed an agreement with a medicine distributor to supply its COVID-19 vaccine to Brazil, it said on Tuesday, even as the shot’s emergency use approval in its home country has faced criticism. ",emergency,"india’s bharat biotech has signed an agreement with a medicine distributor to supply its covid-19 vaccine to brazil, it said on tuesday, even as the shot’s emergency use approval in its home country has faced criticism. "
"The emergency situation could mean introducing odd-even rules for vehicles, stopping vehicular movement in some parts and shutting schools among others  — by @CK_Mandal",emergency,"the emergency situation could mean introducing odd-even rules for vehicles, stopping vehicular movement in some parts and shutting schools among others  — by @ck_mandal"
NAC Twin Otter makes emergency landing at Tribhuvan International Airport ,emergency,nac twin otter makes emergency landing at tribhuvan international airport 
Kathmandu-bound Air India flight makes emergency landing  ,emergency,kathmandu-bound air india flight makes emergency landing  
"OPINION: Governments are responding to the health emergency as they rightly should, but ensuring food supply is equally vital.  — by @gcarun88",emergency,"opinion: governments are responding to the health emergency as they rightly should, but ensuring food supply is equally vital.  — by @gcarun88"
Nepal gives emergency use approval to China’s Sinovac Covid-19 vaccine With this the number of vaccines that Nepal’s drug regulator has given approval to reaches five. ,emergency,nepal gives emergency use approval to china’s sinovac covid-19 vaccine with this the number of vaccines that nepal’s drug regulator has given approval to reaches five. 
UNSC to hold emergency talks after suspected chemical attack in Syria left dozens of civilians dead &amp; wounded ,emergency,unsc to hold emergency talks after suspected chemical attack in syria left dozens of civilians dead &amp; wounded 
NAC airbus makes emergency landing after smoke detection  ,emergency,nac airbus makes emergency landing after smoke detection  
"#Opinion Radio in times of emergency, disaster can make the difference between life and death, by Christian Manhart ",emergency,"#opinion radio in times of emergency, disaster can make the difference between life and death, by christian manhart "
"Sri Lanka has extended a credit line with India by $200 million in order to procure emergency fuel stocks, the country’s power and energy minister said on Monday, with four shipments due to arrive in May. ",emergency,"sri lanka has extended a credit line with india by $200 million in order to procure emergency fuel stocks, the country’s power and energy minister said on monday, with four shipments due to arrive in may. "
Japan hands over emergency relief to Nepal #KathmanduPost  ,emergency,japan hands over emergency relief to nepal #kathmandupost  
Disaster preparedness: 7 emergency wells in Valley ,emergency,disaster preparedness: 7 emergency wells in valley 
